Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
Turamb0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,98,"
DEP. Aquí otro con una estantería llena de cómics y Superhumores suyos.
Recuerdo muy graciosos ""Prohibido Fumar"" y ""El 35 Aniversario"". Sobre éste en concreto, fijaos en la parte de abajo a la derecha. ¿Creéis que está dibujado ya y lo veremos en unos años?
 ",7,2023-07-15 18:38:00
Kike_Knoxvil,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,99,"
#70 ¿Y ese quién es? Estoy muy poco puesto en lore ",0,2023-07-15 18:39:00
Arctrax,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,100,"
Día negro ... Aún recuerdo mi primer cómic, Billy el Horrendo... Se ha ido el rey 🥲 ",0,2023-07-15 18:39:00
Ilikerain,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,101,"
#99 un traductor que ha destrozado la traducción española de Dragon Ball y que traduce Shin Chan y que se puso a criticar a Ibáñez por pajas mentales que tiene el en su cabeza. ",0,2023-07-15 18:41:00
PPerico,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,102,"
DEP
Era sin duda mi idolo de niñez, de vez en cuando hojeaba algun comic de mortadelo y filemon y estuve hace 1 semana viendo El Armario del Tiempo.. siempre fiel hasta el final, adios maestro.. Me jode no haberte conocido en persona ",0,2023-07-15 18:42:00
Kike_Knoxvil,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,103,"
#101 Ah, tócate la polla. El tio que inventó la onda vital criticando al dibujante de tebeos más grande que teníamos porque patata. Sus muertos, no sé quién es pero ya me cae mal ",5,2023-07-15 18:43:00
Ilikerain,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,104,"
#103 no lo de onda vital no, es la traducción de los tomos rojos del manga de Planeta, el destrozo es aún peor. Pues ese señor es el que critica a Ibáñez. ",0,2023-07-15 18:44:00
Larment,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,105,"
RIP, siempre en mi estantería. ",0,2023-07-15 18:45:00
0nLy,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,106,"
DEP  ",0,2023-07-15 18:48:00
guillauME,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,107,"
DEP.
13, Rue del Percebe también era una maravilla. ",1,2023-07-15 18:49:00
Seyriuu,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,108,"
Me sabe fatal.
¿Se sabe exactamente de qué ha muerto? ",0,2023-07-15 18:54:00
0nLy,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,109,"
#108 Con casi 90 tacos... de cualquier cosa. ",1,2023-07-15 18:59:00
fuNN,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,110,"
Se nos va un gran genio Español, DEP ",0,2023-07-15 19:02:00
visent666,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,111,"
Este hombre es de los pocos que caen bien a todos. Un grande. Un genio las pedazo de risas que nos hemos pegado con el. ",0,2023-07-15 19:02:00
fvksys,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,112,"
 ",57,2023-07-15 19:02:00
Blue_ogre,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,113,"
Cómo me gustaba la guía para la vida del joven de hoy, y otro similar que también andará por casa de mis padres.
Recuerdo que cuando era pequeño mis padres se dejaron embaucar por un vendedor de esos de libros y tenía una subscriptor a mensual a todos los cómic del señor Ibáñez. Que feliz era cada vez que leía sus tebeos ",0,2023-07-15 19:04:00
